codigo_p,texto_es,codigos_h_aplicables
P352,Lavar con abundante agua y jabon,"H302,H312,H315,H317"
P353,Aclararse la piel con agua o ducharse,"H303,H314"
P360,Aclarar inmediatamente con agua abundante las prendas y la piel contaminadas antes de quitarse la ropa,"H314"
P361,Quitarse inmediatamente las prendas contaminadas,"H310,H311,H314"
P362,Quitarse las prendas contaminadas y lavarlas antes de volver a usarlas,"H312,H315,H317"
P363,Lavar las prendas contaminadas antes de volver a usarlas,"H314"
P370,En caso de incendio,"H220,H222,H224,H225,H226,H228,H240,H241,H242,H250,H260,H261"
P371,En caso de incendio importante y target cantidades,"H228"
P372,Riesgo de explosion en caso de incendio,
P373,NO apagar con agua cuando el fuego afecte a productos quimicos,"H260"
P375,Combatir el incendio a distancia debido al riesgo de explosion,"H201,H240"
P376,Detener la fuga si no hay peligro en hacerlo,"H220,H221"
P377,Fuga de gas en llamas: no apagar salvo si la fuga puede detenerse sin peligro,"H220,H221"
P378,Utilizar ... para apagar,"H220,H222,H224,H225,H226,H228"
P380,Evacuar la zona,"H201,H202,H203,H240,H241"
P381,Eliminar todas las fuentes de ignicion si no hay peligro en hacerlo,"H224,H225,H226"
P390,Absorber el vertido para que no dane otros materiales,"H290"
P391,Recoger el vertido,"H400,H410,H411,H412"
P401,Almacenar de conformidad con la normativa local,"H340,H350,H360"
P402,Almacenar en un lugar seco,"H228,H260,H261"
P403,Almacenar en un lugar bien ventilado,"H220,H221,H224,H225,H226,H228,H330,H331"
P404,Almacenar en un recipiente cerrado,"H228"
P405,Guardar bajo llave,"H300,H301,H310,H311,H330,H331,H340,H350,H360,H370"
P406,Almacenar en un recipiente resistente a la corrosion,"H290"
P407,Dejar una separacion entre los bloques o los palets,"H228"
P410,Proteger de la luz del sol,"H228,H280"
P411,Almacenar a temperaturas no superiores a ... C,"H228,H251,H252"
P412,No exponer a temperaturas superiores a 50 C,"H222,H223,H280"
P413,Almacenar a temperaturas no superiores a ... C las cantidades a granel superiores a ... kg,"H252"
P420,Almacenar alejado de otros materiales,"H270,H271,H272"
P422,Almacenar el contenido en ...,"H250"
P501,Eliminar el contenido y el recipiente de conformidad con la normativa local,
P502,Solicitar al fabricante informacion sobre la recuperacion o reciclado,
